8/9/2022 "ADU Task Force Update" "foreign policy"
8/23/2021 "A resolution approving a proposed Revival and Second Amendatory Agreement between the City and County of Denver and The Salvation Army to provide 24-hour shelter operations and services support for congregate shelter and non-congregate activated respite and protective action hotel and motel rooms for people experiencing homelessness in response to the COVID-19 pandemic.
Amends a contract with The Salvation Army by adding $7,744,378 for a new total of $25,805,537 and one year for a new end date of 6-30-22 to provide 24-hour shelter operations and services support for congregate shelter and non" welfare
8/23/2021 "A resolution approving a proposed Revival and Third Amendatory Agreement between the City and County of Denver and The Colorado Coalition for the Homeless to serve people experiencing homelessness throughout the COVID-19 pandemic.
Amends a contract with the Colorado Coalition for the Homeless by adding $11,126,026 for a new total of $38,289,372 and one year for a new end date of 6-30-22 to provide facility and personnel support for at least 810 hotel/motel rooms to serve people experiencing homelessness throughout the COVID-19 pandemic (HOST 202159887-03). The last regularly scheduled Council" welfare
8/23/2021 "A resolution approving a proposed Fourth Amendatory Agreement between the City and County of Denver and Securitas Security Services, USA, Inc. to increase the maximum contract amount, extend the term and update provisions for security personnel at various homeless shelters and facilities during the COVID-19 health crisis.
Amends a contract with Securitas Security Services USA, Inc. by adding $2,878,005 for a new total of $10,378,005 and six months for a new end date of 12-31-21 to provide security personnel services at congregate and non-congregate shelter locations in response to the COVID-1" welfare
8/20/2021 "A resolution approving a contract with Rocky Mountain Human Services for $5,663,846 and through 8-31-24 for the development of a Systemic, Therapeutic, Assessment, Respite and Treatment (START) program and to provide direct services to Denver residents with intellectual and developmental disabilities with mental/behavioral health needs (IDD/MH) and their systems of care (SOCSV-2021596285-00).
Approves a contract with Rocky Mountain Human Services for $5,663,846 and through 8-31-24 for the development of a Systemic, Therapeutic, Assessment, Respite and Treatment (START) program and to provide" welfare
8/18/2021 "A bill for an ordinance approving an agreement with the University System of New Hampshire for $599,072 and through 8-31-24 to provide training and consultation for the development of a Systematic, Therapeutic, Assessment, Resources and Treatment (START) clinical team for a crisis intervention system for individuals with intellectual and developmental disabilities with mental/behavioral health needs (IDD/MH) and their families or caregivers (SOCSV-202159628-00).
Approves an agreement with the University System of New Hampshire for $599,072 and through 8-31-24 to provide training and consultat" welfare
8/18/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and Emerging Airport Partners, LLC concerning a concession agreement for a location on Concourse B at Denver International Airport.
Approves a concession agreement with Emerging Airport Partners, LLC for rental revenue based on a minimum annual guarantee of $262,592 or percentage compensation of gross revenues at a location on Concourse B at Denver International Airport (201952064). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this ite" infrastructure
8/18/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and DOC1 Solutions, LLC concerning a concession agreement for a location on Concourse C at Denver International Airport.
Approves a concession agreement with DOC1 Solutions, LLC for rental revenue based on a minimum annual guarantee of $159,800 or percentage compensation of gross revenues at a location on Concourse C Denver International Airport (201952066). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 9-1-2" infrastructure
8/18/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and The AVE Group, LLC concerning a concession agreement for a location on Concourse B at Denver International Airport.
Approves a concession agreement with The Ave Group, LLC for rental revenue based on a minimum annual guarantee of $204,212.50 or percentage compensation of gross revenues at a location on Concourse B at Denver International Airport (201952059). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 9" infrastructure
8/18/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and The AVE Group, LLC concerning a concession agreement for a location on Concourse A at Denver International Airport.
Approves a concession agreement with The Ave Group, LLC for rental revenue based on a minimum annual guarantee of $133,875 or percentage compensation of gross revenues at a location on Concourse A at Denver International Airport (201952058). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 9-1-" infrastructure
8/18/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and Tastes DEN JV, LLC, concerning a concession agreement for a location on Concourse B at Denver International Airport.
Approves a concession agreement with Tastes DEN JV, LLC for rental revenue based on a minimum annual guarantee of $1,100,000 or percentage compensation of gross revenues at a location on Concourse B at Denver International Airport (201951175). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 9" infrastructure
8/18/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and Tastes DEN JV, LLC concerning a concession agreement for a location on Concourse C at Denver International Airport.
Approves a concession agreement with Tastes DEN JV, LLC for rental revenue based on a minimum annual guarantee of $1,850,000 or percentage compensation of gross revenues at a location on Concourse C at Denver International Airport (201951183). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 9-" infrastructure
8/18/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and Mission Yogurt, LLC concerning a concession agreement for a location on Concourse A at Denver International Airport.
Approves a concession agreement with Mission Yogurt, LLC for rental revenue based on a minimum annual guarantee of $127,500 or percentage compensation of gross revenues at a location on Concourse A at Denver International Airport (201952055). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 9-" infrastructure
8/24/2021 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the total sum of Twenty Thousand Dollars and Zero Cents ($20,000.00), payable to The Law Office of Abbey G. Moffitt, LLC in full payment and satisfaction of all claims related to the civil action Colin Connors v. Justin Kennedy and the City and County of Denver, which was filed in the Denver District Court, Case No. 2020CV33520.
Settles a claim involving the Denver Police Department. This resolution was approved for filing at the Mayor-Council meeting on 8-24-21." infrastructure
8/19/2021 "Third Annual La Raza Park and Cruise Day." law
8/19/2021 "A proclamation recognizing the 50th Anniversary of the Bear Valley Branch Library." welfare
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Stantec Consulting Services, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with Stantec Consulting Services, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Stanley Consultants, Inc. adding one year for a new end date for on-call professional services.
a contract with Stanley Consultants, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (DOTI-202159568-02; 20" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Short-Elliott-Hendrickson, Inc. adding one year for a new end date for on-call professional services.
a contract with Short-Elliott-Hendrickson, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (DOTI-2021" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Navjoy Consulting Services, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with Navjoy Consulting Services, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Muller Engineering Company, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with Muller Engineering Company, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Kimley-Horn and Associates, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with Kimley-Horn and Associates, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Jacobs Engineering Group, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with Jacobs Engineering Group, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (DOTI" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and HDR Engineering, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with HDR Engineering, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (DOTI-202159562-02; 201" infrastructure
8/14/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Felsburg Holt & Ullevig, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with Felsburg Holt & Ullevig, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (DOTI-2" infrastructure
8/13/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and David Evans and Associates, Inc. adding one year for a new end date for on-call professional services.
Amends a contract with David Evans and Associates, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (" infrastructure
8/13/2021 "A resolution approving a proposed Third Amendatory Agreement between the City and County of Denver and Consor Engineers, LLC dba Apex Design adding one year for a new end date for on-call professional services.
Amends a contract with Consor Engineers, LLC, doing business as Apex Design, by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No ch" infrastructure
8/13/2021 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and AECOM Technical Services, Inc. by adding one year for a new end date for on-call services.
Amends a contract with AECOM Technical Services, Inc. by adding one year for a new end date of 9-27-22 for on-call professional services including traffic, transportation, bicycle and pedestrian, multimodal, parking, civil, water resources, survey, geotechnical, material testing, construction management, environmental, and various mobility-related services. No change to contract amount (DOTI-202059558" infrastructure
8/16/2021 "A bill for an ordinance relinquishing the easements, in its entirety, established in the Easement Agreement, Permanent Easement for Public Access, Permanent Easement for Right-of-Way Area and Permanent Non-Exclusive Easement, recorded with the Denver Clerk & Recorder at Reception No. 2021090422 located at 2720 South Federal Boulevard.
Relinquishes the permanent stormwater, permanent public access, permanent right of way area, and permanent non-exclusive easement (PNEE) for wastewater easements in their entirety, as established in the Easement Agreement, Recordation No. 2021090422, located at" infrastructure
8/16/2021 "A resolution approving a proposed First Amendatory Agreement between the City and County of Denver and Wilson & Company, Inc. Engineers & Architects to provide professional design services for the Connecting Auraria project, involving the replacement of the Larimer Street Bridge over Cherry Creek, the upgrade of signals at the Larimer and Speer intersections, and associated landscaping and water quality.
Amends a contract with Wilson & Company, Inc. Engineers & Architects by adding two years for a new end date of 11-09-23 for professional design services for the replacement of the Larimer Str" infrastructure
8/16/2021 "A resolution approving a proposed Contract between the City and County of Denver and Insituform Technologies, LLC to add compensation and add one year.
Approves a contract with Insituform Technologies, LLC for $3,685,090.90 and for one year to rehabilitate approximately 92,000 linear feet of deteriorated sewer pipes using Cured in Place Pipe (CIPP) technology in Council Districts 3, 8, 1 and 9 (202158902). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 8-24-21." infrastructure
8/16/2021 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as a public alley bounded by East Colfax Avenue, North Milwaukee Street, East 16th Avenue and North St. Paul Street.
Dedicates a parcel of land as public right of way as public alley, bounded by East Colfax Avenue, North Milwaukee Street, East 16th Avenue, and North Saint Paul Street in Council District 9. The Committee approved filing this item at its meeting on 8-24-21." infrastructure
8/16/2021 "A bill for an ordinance changing the zoning classification of 1901 Wazee Street, 1600 20th Street and 1601 19th Street in Union Station.
Approves a map amendment to rezone property from PUD-G 19 to PUD G-26 (alters the signage allowances), located at 1901 Wazee Street in Council District 9. The Committee approved filing this item at its meeting on 8-24-21." infrastructure
8/16/2021 "A bill for an ordinance authorizing the issuance and sale of an amount not to exceed $9,000,000 of the City and County of Denver, Colorado Multifamily Housing Revenue Note (Rhonda’s Place) Series 2021A and not to exceed $3,000,000 City and County of Denver, Colorado Multifamily Housing Revenue Note (Rhonda’s Place) Taxable Series 2021B for the purpose of financing the acquisition, construction, and equipping of a multifamily residential rental housing for individuals experiencing homelessness in the City and County of Denver, Colorado and to pay certain expenses of such Notes (as defined below" welfare
8/16/2021 "A bill for an ordinance changing the zoning classification for 3428 West Moncrieff Place in West Highland.
Approves a map amendment to rezone property from U-SU-A to U-SU-A1 (allows for an accessory dwelling unit), located at 3428 West Moncrieff Place in Council District 1. The Committee approved filing this item at its meeting on 8-24-21." infrastructure
8/18/2021 "Construction Careers Pilot Program" economy
8/17/2021 "STAR Program Expansion" informal
8/16/2021 "A resolution approving a proposed Agreement, between the City and County of Denver and Sky Chefs, Inc. concerning a space lease in the Joint Use Cargo Building at Denver International Airport.
Approves a lease agreement with Sky Chefs, Inc. for rates and charges and for seven months, with two one-year options to extend, to lease 5,706 square feet of building space and 11,061 square feet of ground space in the Joint Use Cargo Building for provisioning services to Frontier Airlines at Denver International Airport (202055042). The last regularly scheduled Council meeting within the 30-day review" infrastructure
8/16/2021 "A resolution approving proposed Amendments between the City and County of Denver and multiple concessionaires concerning three-year extensions to their concession agreements at Denver International Airport.
Amends multiple concession agreements with multiple concessionaires to extend the terms by three years from their expiration dates to provide food and beverage, retail and services to passengers and employees and Denver International Airport (includes multiple contract control numbers).  The last regularly scheduled Council meeting within the 30-day review period is on 9-27-21. The Committ" infrastructure
8/16/2021 "A resolution approving a proposed Agreement between the City and County of Denver and Impact Charitable to provide funding to Denver residents who were previously employed and lost their employment due to the COVID-19 pandemic for basic pressing needs.
Approves a contract with Impact Charitable for $2,000,000 and through 12-31-21 to provide funding to Denver residents who were previously employed and lost their employment due to the COVID-19 pandemic for basic pressing needs including housing, utilities, food, health care, transportation, and childcare (HRCRS-202159452). The last regularly sc" welfare
8/16/2021 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Housing and Urban Development concerning the “Housing Opportunities for People with AIDS (HOPWA) FY21” program and the funding therefor.
Approves a grant agreement with the U.S. Department of Housing and Urban Development (HUD) for the 2021 allocation of $2,882,065 through the Housing Opportunities for People with AIDS (HOPWA) program to provide housing and supportive services for persons with Acquired Immunodeficiency Syndro" welfare
8/16/2021 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Housing and Urban Development concerning the “HOME FY21” program and the funding therefor.
Approves a grant agreement with the U.S. Department of Housing and Urban Development (HUD) for the 2021 allocation of $2,985,485 for HOME Investment Partnerships (HOME) to provide for the city's housing development activities, including for building, buying, and rehabilitating affordable housing for rent or homeownership and providing d" welfare
8/16/2021 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Housing and Urban Development concerning the “Emergency Solutions Grant FY21” program and the funding therefor.
Approves a grant agreement with the U.S. Department of Housing and Urban Development (HUD) for the 2021 allocation of $581,685 for the Emergency Solutions Grant (ESG) to provide funding for services that assist persons experiencing homelessness (HOST-202159908). The last regularly scheduled Council meeting within th" welfare
8/16/2021 "A resolution approving a proposed Loan Agreement between the City and County of Denver and MHMP 15 E Colfax, LLLP to construct an 82-unit affordable housing project located at 1510 North Valentia Street.
Approves a loan agreement with MHMP 15 E Colfax, LLLP for $3,500,000 and through 11-01-81 to construct an 82-unit affordable housing project to serve general, family occupancy and include an Early Childhood Education (ECE) center on the ground floor located at 1510 North Valentia Street in Council District 8 (HOST 202160023). The last regularly scheduled Council meeting within the 30-day revi" welfare
8/16/2021 "A bill for an ordinance authorizing the issuance and sale of an amount not to exceed $15,425,000 of the City and County of Denver, Colorado Multifamily Housing Revenue Note (The Rose on Colfax) Series 2021 for the purpose of financing the acquisition, construction, renovation, rehabilitation, improvement and equipping of an affordable multifamily housing facility in the City and County of Denver, Colorado and to pay certain expenses of such Notes (as defined below) issue; approving and authorizing execution of a Funding Loan Agreement, a Borrower Loan Agreement and a Tax Regulatory Agreement (" welfare
8/16/2021 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Housing and Urban Development concerning the “Community Development Block Grant FY21” program and the funding therefor.
Approves a grant agreement with the U.S. Department of Housing and Urban Development (HUD) for the 2021 allocation of $6,740,253 through the Community Development Block Grant (CDBG) program to improve housing and living conditions and expand economic opportunities for low- and moderate-income persons (OEDEV-" welfare
8/16/2021 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Mile High Council on Alcoholism and Drug Abuse to continue providing appropriate care in the community as part of the Recovery in a Secure Environment (RISE) program.
Amends a contract with Mile High Council on Alcoholism and Drug Abuse, doing business as Mile High Behavioral Healthcare, by adding $280,036.05 for a new total of $508,171.05 and one year for a new end date of 6-30-22 to continue to provide appropriate screenings, assessments, brief intervention, and linkage to care in the community," welfare
8/9/2021 "A bill for an ordinance to amend, restate and supersede Ordinance No. 1321, Series 2018, creating a Local Maintenance District for the continuing care, operation, security, repair, maintenance and replacement of the Skyline Park Local Maintenance District in the City and County of Denver, State of Colorado, with the costs of said continuing care, operation, security, repair, maintenance and replacement of said Skyline Park Local Maintenance District to be assessed upon the real property, exclusive of improvements thereon, benefited.
Amends CB 18-1321 which established the creation of the Skyl" infrastructure
8/12/2021 "A proclamation in recognition of the 80th Anniversary of the Eisenhower Chapel at Lowry." welfare
8/5/2021 "A resolution approving the Mayor’s reappointments and appointments to the Metro Wastewater Reclamation District. 
Approves the following Mayoral reappointments and Mayoral appointments to the Metro Wastewater Reclamation District: reappointments of Peter Spanberger, Michael Sapp, Andrew Johnson, Robert Duncanson and Peter Baertlein for terms effective immediately and expiring 6-30-23, or until a successor is duly appointed; appointments of Doug Lazure and Jennifer Williams for terms effective immediately and expiring 6-30-23, or until a successor is duly appointed. The Committee approved fili" infrastructure
8/4/2021 "A bill for an ordinance approving the Mayor’s reappointments and appointments to the Denver Commission on Cultural Affairs. 
Approves the following Mayoral reappointments and Mayoral appointments to the Denver Commission on Cultural Affairs: reappointment of Dudley Schoales for a term effective immediately and expiring 8-31-23, or until a successor is duly appointed; reappointments of Heather Nielsen, Leesly Leon and Michael McClung for terms effective immediately and expiring 8-31-24, or until a successor is duly appointed; appointments of Christopher Zacher, Aisha Ahmad-Post, Ricard Acosta," infrastructure
8/4/2021 "A bill for an ordinance making a rescission from and an appropriation in the Culture and Recreation Special Revenue Fund, and authorizing a cash transfer to and an appropriation in the Parks, Trails and Open Space Capital Improvement Fund.
Transfers $1,215,000 from the Parks, Trails and Open Space Operating Special Revenue Fund 15828 into the Parks, Trails, and Open Space Capital Improvement Fund 36050 and appropriates the transferred amount to be utilized for the property acquisition of 5060 North Logan Street and 401 East 50th Avenue for a new Denver Parks and Recreation maintenance facilit" welfare
8/4/2021 "A resolution approving a proposed Purchase and Sale Agreement between the City and County of Denver and Brent Allan Beckman and Floribeth Beckman for property located at 5060 North Logan Street and 401 East 50th Avenue.
Approves a purchase and sale agreement with Brent Allan Beckman and Floribeth Beckman for $795,000 for the purchase of 5060 North Logan Street and 401 East 50th Avenue for Parks and Recreation in Council District 9 (FINAN-202159446). The last regularly scheduled Council meeting within the 30-day review period is on 9-27-21. The Committee approved filing this item at its meetin" infrastructure
7/28/2021 "A resolution approving a proposed Master Services Agreement between the City and County of Denver and W.J. Dickensheet & Associates, Inc. to provide auctioneering services.
Approves a revenue contract with W.J. Dickensheet & Associates, Inc. for $25,000 and through 7-31-26 for live auctioneering services for the City (GENRL-202158990-00). The last regularly scheduled Council meeting within the 30-day review period is on 9-20-21. The Committee approved filing this item at its meeting on 8-17-21." government
8/9/2021 "A resolution approving a proposed On-Call Project Management Services Agreement between the City and County of Denver and Prisma International, LLC for on-call project management services.
Approves a contract with Prisma International, LLC for $1 million and for three years for on-call project management services including design oversight, design and construction services procurement, construction inspection services and project implementation oversight, for City parks and recreation infrastructure (Parks-202159102). The last regularly scheduled Council meeting within the 30-day review perio" infrastructure
8/9/2021 "A resolution approving a proposed On-Call Project Management Services Agreement between the City and County of Denver and Em Dub Design, LLC for on-call project management services.
Approves a contract with Em Dub Design, LLC for $1 million and for three years for on-call project management services including design oversight, design and construction services procurement, construction inspection services and project implementation oversight, for City parks and recreation infrastructure (Parks-202159113). The last regularly scheduled Council meeting within the 30-day review period is on 9-20-2" infrastructure
8/9/2021 "A resolution approving a proposed On-Call Project Management Services Agreement between the City and County of Denver and Dunakilly Management Group Corporation for on-call project management services.
Approves a contract with Dunakilly Management Group Corp. for $1 million and for three years for on-call project management services including design oversight, design and construction services procurement, construction inspection services and project implementation oversight, for City parks and recreation infrastructure (Parks-202159099). The last regularly scheduled Council meeting within the" infrastructure
8/9/2021 "A resolution approving a proposed On-Call Project Management Services Agreement between the City and County of Denver and Citrine, LLC for on-call project management services.
Approves a contract with Citrine, LLC for $1 million and for three years for on-call project management services including design oversight, design and construction services procurement, construction inspection services and project implementation oversight, for City parks and recreation infrastructure (202159103). The last regularly scheduled Council meeting within the 30-day review period is on 9-20-21. The Committee a" infrastructure
8/9/2021 "A bill for an ordinance relinquishing a portion of the easement established in the Amended Covenant and Drainage/Sewer Easement, recorded with the Denver Clerk & Recorder at Reception No. 2003199713; and, a portion of the 10 foot utility easement established in East Range Crossings Filing No. 1, recorded with the Denver Clerk & Recorder at Reception No. 2017166158 located near 18905 East 59th Avenue.
Relinquishes a portion of the sewer easement as established in the Amended Covenant and Drainage/Sewer Easement, with Rec. No. 2003199713, and a portion of the 10-foot utility easement as establi" infrastructure
8/9/2021 "A resolution approving a proposed Amended Master Purchase Order between the City and County of Denver and Ten Point Sales & Marketing LLC to extend the time and increase the contract amount for sewer cleaning equipment parts to support Wastewater Management Division.
Amends a master purchase order with Ten Point Sales & Marketing, LLC of Colorado by adding $200,000 for a new total of $600,000 and one year for a new end date of 9-30-22 for the purchase of sewer cleaning equipment parts to support the Wastewater Management Division (SC-00000037). The last regularly scheduled Council meeting wit" infrastructure
8/9/2021 "A bill for an ordinance revoking the revocable permit granted by Ordinance No. 918, Series of 1997 to National Palace Lofts Association, L.P.
Revokes Ordinance No. 918, Series of 1997, which granted a revocable permit to National Palace Lofts Association, L.P., their successors and assigns, to encroach into the right of way with shoring and tie backs into 15th Street, Blake Street, and the alley in block 18, East Denver at 1499 Blake Street in Council District 9. The Committee approved filing this item at its meeting on 8-17-21." government
8/9/2021 "A resolution approving a proposed On-Call Hauling Agreement between the City and County of Denver and J&K Trucking, LLC for hauling services, including labor and trucks, all milling, paving and other operations.
Approves a contract with J&K Trucking, LLC for $2,750,000 and for three years to provide hauling services, including labor and trucks, for all milling, paving, and other operations, citywide (DOTI- 202159927-00). The last regularly scheduled Council meeting within the 30-day review period is on 10-31-21. The Committee approved filing this item at its meeting on 8-17-21." infrastructure
8/9/2021 "A bill for an ordinance vacating a portion of right-of-way adjacent to 2845 Umatilla Street, with reservations.
Vacates 56-feet of the East/West alley adjacent to 2845 Umatilla, with reservations in Council District 1. The Committee approved filing this item at its meeting on 8-17-21." infrastructure
8/9/2021 "A resolution laying out, opening and establishing as part of the City street system three parcels of land as: 1) West Warren Avenue at the intersection of West Warren Avenue and South Acoma Street; and, 2) South Acoma Street at the intersection of South Acoma Street and West Warren Avenue; and, 3) South Broadway, near the intersection of West Evans Avenue and South Broadway.
Dedicates a parcel of land as public right of way as West Warren Avenue, located at the intersection of West Warren Avenue and South Acoma Street, dedicates a parcel of land as public right of way as South Acoma Street, l" infrastructure
8/11/2021 "A bill for an ordinance submitting to a vote of the qualified and registered electors of the City and County of Denver at a special municipal election to be held on Tuesday, November 2, 2021, the question of whether the City shall be authorized to issue or incur general obligation debt for the purpose of financing and/or refinancing the cost of repairs and improvements to the National Western Campus Facilities System; providing the form of the ballot question; providing for other details in connection therewith; and ratifying action previously taken.
Refers a question to the November 2021 bal" welfare
8/6/2021 "A resolution approving a proposed Agreement between the City and County of Denver and Colorado Women's Employment and Education, Incorporated for intensive services to assist Colorado Works/TANF participants.
Approves a contract with Colorado Women’s Employment and Education, Inc. for $770,000 and through 6-30-22, to provide intensive services to assist Colorado Works/TANF participants support with personal and family stabilization, case management, and skills development prior to job placement, citywide (SOCSV-202159631). The last regularly scheduled Council meeting within the 30-day review" welfare
8/10/2021 "Denver Homeless Out Loud Report" law
8/9/2021 "A resolution approving a proposed Revival and Amendatory Agreement between the City and County of Denver and The Housing Authority of the City and County of Denver for the purpose of extending the duration to complete the GROW Market.
Revives and amends a loan agreement with The Housing Authority of the City and County of Denver by adding seven months for a new end date of 10-31-21 for the purpose of extending the duration to complete the GROW Market, which provides grocery accessibility as well as workforce training and development at 2800 West 10th Avenue in Council District 3 (OEDEV 202158" welfare
8/2/2021 "A resolution approving a proposed Fourth Amendatory Agreement between the City and County of Denver and Bettenberg McGuire & Associates, LLC to increase compensation and extend the term to reimburse costs associated with the provision of defense counsel to defendants at their first appearance in municipal courts as required under Colorado Revised Statue.
Amends a contract with Bettenberg McGuire & Associates, LLC by adding $224,000 for a new total of $632,840 and one year for a new end date of 6-30-22 to reimburse in whole or part, costs associated with the provision of defense counsel to def" infrastructure
8/5/2021 "A proclamation recognizing the Annual Brothers Redevelopment and Denver Employee Volunteer Opportunities Paint-A-Thon Day in the City and County of Denver on Saturday, August 14, 2021." welfare
8/5/2021 "A bill for an ordinance submitting to a vote of the qualified and registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the coordinated election of November 2, 2021, a proposed amendment to the Charter of the City and County of Denver transforming the offices of councilmember at-large by creating two additional councilmember districts.
Submits to a vote of the qualified and registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the coordinated election of November 2, 2021," infrastructure
8/5/2021 "A bill for an ordinance submitting to a vote of the registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the coordinated election on November 2, 2021, a proposed amendment to the Charter of the City and County of Denver moving the general election for the City and County of Denver from the first Tuesday in May of odd-numbered years to the first Tuesday in April of odd-numbered years.
Refers to voters a charter amendment to move the May general municipal election to April to resolve the timing conflict created by federal and state" infrastructure
8/2/2021 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as South Acoma Street at the intersection of West Asbury Avenue and South Acoma Street; and, a parcel of land as West Asbury Avenue located at the intersection of West Asbury Avenue and South Acoma Street; and, a parcel of land as a public alley, bounded by West Asbury Avenue, South Bannock Street, West Jewell Avenue and South Acoma Street; and, a parcel of land as a public alley, bounded by South Acoma Street, West Jewell Avenue, South Bannock Street and West Asbury Avenue; and, a parcel of la" infrastructure
8/2/2021 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as South Bannock Street near the intersection of West Jewell Avenue and South Bannock Street.
Dedicates a parcel of land as public right of way as South Bannock Street, located at the intersection of West Jewell Avenue and South Bannock Street in Council District 7. The Committee approved filing this item at its meeting on 8-10-21." infrastructure
8/2/2021 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as South Broadway near the intersection of East Vassar Avenue and South Broadway; and, a parcel of land as a public alley bounded by East Vassar Avenue, South Broadway, East Harvard Avenue and South Lincoln Street.
