	1	2	3	Province or Territory	Constituency	Candidate	Gender	Occupation	Political Affiliation	Result	Votes	Image URL
		Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	
			Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	
				Alberta	Foothills	Hession, Greg	Man	Solar Professional	People's Party of Canada	Defeated	1698	https://lop.parl.ca/Candidate/13377_tu.jpg
				Alberta	Fort McMurray--Cold Lake	Yurdiga, David	Man	Parliamentarian	Conservative Party of Canada	Elected	40706	https://lop.parl.ca/ParlInfoPic/18279/11309.jpg
				Alberta	Fort McMurray--Cold Lake	Farrington, Maggie	Woman	CEO of a First Nation	Liberal Party of Canada	Defeated	4848	https://lop.parl.ca/Candidate/13382_tu.jpg
				Alberta	Fort McMurray--Cold Lake	Gilks, Matthew	Man	Cook	New Democratic Party	Defeated	2883	https://lop.parl.ca/Candidate/13383_tu.jpg
				Alberta	Fort McMurray--Cold Lake	Barrett, Matthew	Man	Bus Operator	People's Party of Canada	Defeated	1674	https://lop.parl.ca/Candidate/13380_tu.jpg
				Alberta	Fort McMurray--Cold Lake	Deheer, Brian	Man	Music Instructor	Green Party of Canada	Defeated	865	https://lop.parl.ca/Candidate/13381_tu.jpg
				Alberta	Grande Prairie--Mackenzie	Warkentin, Chris	Man	Parliamentarian	Conservative Party of Canada	Elected	51198	https://lop.parl.ca/ParlInfoPic/11164/11354.jpg
				Alberta	Grande Prairie--Mackenzie	Alyward, Erin	Woman	Personal Shopper, Loblaws	New Democratic Party	Defeated	4245	https://lop.parl.ca/Candidate/13422_tu.jpg
				Alberta	Grande Prairie--Mackenzie	Munro, Kenneth	Man	Professor Emeritus	Liberal Party of Canada	Defeated	2910	https://lop.parl.ca/Candidate/13424_tu.jpg
				Alberta	Grande Prairie--Mackenzie	Burchill, Douglas Gordon	Man	Retired	People's Party of Canada	Defeated	1492	https://lop.parl.ca/Candidate/13423_tu.jpg
				Alberta	Grande Prairie--Mackenzie	Termuende, Shelley	Woman	Legislative Assistant	Green Party of Canada	Defeated	1134	https://lop.parl.ca/Candidate/13425_tu.jpg
				Alberta	Lakeland	Stubbs, Shannon	Woman	Parliamentarian	Conservative Party of Canada	Elected	48314	https://lop.parl.ca/ParlInfoPic/18425/11305.jpg
				Alberta	Lakeland	Swanson, Jeffrey	Man	Expediter with Earls Restaurants	New Democratic Party	Defeated	3728	https://lop.parl.ca/Candidate/13650_tu.jpg
				Alberta	Lakeland	Watson, Mark	Man	Journalist	Liberal Party of Canada	Defeated	2565	https://lop.parl.ca/Candidate/13651_tu.jpg
				Alberta	Lakeland	Houle, Alain	Man	Power Line Technician	People's Party of Canada	Defeated	1468	https://lop.parl.ca/Candidate/13647_tu.jpg
				Alberta	Lakeland	Brunner, Kira	Woman	Student	Green Party of Canada	Defeated	1105	https://lop.parl.ca/Candidate/13645_tu.jpg
				Alberta	Lakeland	McFadzean, Robert	Man	Retired	Libertarian Party of Canada	Defeated	251	https://lop.parl.ca/Candidate/13648_tu.jpg
				Alberta	Lakeland	Graham, Roberta Marie	Woman	Housewife	Veterans Coalition Party of Canada	Defeated	147	https://lop.parl.ca/Candidate/13646_tu.jpg
				Alberta	Lethbridge	Harder, Rachael	Woman	Parliamentarian	Conservative Party of Canada	Elected	40713	https://lop.parl.ca/ParlInfoPic/18426/11320.jpg
				Alberta	Lethbridge	Bleiken, Shandi	Woman	Administrative Assistant	New Democratic Party	Defeated	9110	https://lop.parl.ca/Candidate/13707_tu.jpg
				Alberta	Lethbridge	Bronson, Amy	Woman	Consultant	Liberal Party of Canada	Defeated	8443	https://lop.parl.ca/Candidate/13708_tu.jpg
				Alberta	Lethbridge	Watson, Stephnie	Woman	Researcher	Green Party of Canada	Defeated	1939	https://lop.parl.ca/Candidate/13712_tu.jpg
				Alberta	Lethbridge	Hepworth, Grant	Man	Business Owner	People's Party of Canada	Defeated	1007	https://lop.parl.ca/Candidate/13710_tu.jpg
				Alberta	Lethbridge	Slingerland, Marc	Man	Teacher	Christian Heritage Party of Canada	Defeated	670	https://lop.parl.ca/Candidate/13711_tu.jpg
				Alberta	Medicine Hat--Cardston--Warner	Motz, Glen	Man	Parliamentarian	Conservative Party of Canada	Elected	42045	https://lop.parl.ca/ParlInfoPic/18699/11095.jpg
				Alberta	Medicine Hat--Cardston--Warner	Thomson, Elizabeth	Woman	Community Connections Coordinator	New Democratic Party	Defeated	4639	https://lop.parl.ca/Candidate/13811_tu.jpg
				Alberta	Medicine Hat--Cardston--Warner	Kirshenbaum, Harris	Man	Consultant	Liberal Party of Canada	Defeated	3528	https://lop.parl.ca/Candidate/13807_tu.jpg
				Alberta	Medicine Hat--Cardston--Warner	Nelson, Andrew	Man	Retired	People's Party of Canada	Defeated	1350	https://lop.parl.ca/Candidate/13809_tu.jpg
				Alberta	Medicine Hat--Cardston--Warner	Hawthorne, Shannon	Woman	Volunteer Coordinator	Green Party of Canada	Defeated	1203	https://lop.parl.ca/Candidate/13806_tu.jpg
				Alberta	Medicine Hat--Cardston--Warner	Phillips, Dave	Man	Self-employed - Trees and Firewood Sales	Independent	Defeated	337	https://lop.parl.ca/Candidate/13810_tu.jpg
				Alberta	Peace River--Westlock	Viersen, Arnold	Man	Automotive Service Technician	Conservative Party of Canada	Elected	41659	https://lop.parl.ca/ParlInfoPic/18427/11120.jpg
				Alberta	Peace River--Westlock	Villebrun, Jennifer	Woman	Library Clerk	New Democratic Party	Defeated	3886	https://lop.parl.ca/Candidate/14126_tu.jpg
				Alberta	Peace River--Westlock	Penny, Leslie	Woman	Retired	Liberal Party of Canada	Defeated	3148	https://lop.parl.ca/Candidate/14123_tu.jpg
				Alberta	Peace River--Westlock	Schrader, John	Man	Rancher	People's Party of Canada	Defeated	1579	https://lop.parl.ca/Candidate/14124_tu.jpg
				Alberta	Peace River--Westlock	Nygaard, Peter	Man	Plumber/Gas Fitter	Green Party of Canada	Defeated	1377	https://lop.parl.ca/Candidate/14122_tu.jpg
				Alberta	Red Deer--Lacombe	Calkins, Blaine	Man	Parliamentarian	Conservative Party of Canada	Elected	53843	https://lop.parl.ca/ParlInfoPic/14725/11253.jpg
				Alberta	Red Deer--Lacombe	Pezzella, Lauren	Woman	Student	New Democratic Party	Defeated	6012	https://lop.parl.ca/Candidate/14217_tu.jpg
				Alberta	Red Deer--Lacombe	Rose , Tiffany	Woman	Yoga Teacher	Liberal Party of Canada	Defeated	3540	https://lop.parl.ca/Candidate/14218_tu.jpg
				Alberta	Red Deer--Lacombe	Thompson, Laura Lynn	Woman	Broadcaster	People's Party of Canada	Defeated	2453	https://lop.parl.ca/Candidate/14219_tu.jpg
				Alberta	Red Deer--Lacombe	Palmer, Sarah	Woman	Geoscientist	Green Party of Canada	Defeated	1596	https://lop.parl.ca/Candidate/14216_tu.jpg
				Alberta	Red Deer--Mountain View	Dreeshen, Earl	Man	Member of Parliament	Conservative Party of Canada	Elected	54765	https://lop.parl.ca/ParlInfoPic/17251/11256.jpg
				Alberta	Red Deer--Mountain View	Garbanewski, Logan	Man	Shift Leader and Student	New Democratic Party	Defeated	4946	https://lop.parl.ca/Candidate/14222_tu.jpg
				Alberta	Red Deer--Mountain View	Tremblay, Gary	Man	Insurance Broker	Liberal Party of Canada	Defeated	3795	https://lop.parl.ca/Candidate/14224_tu.jpg
				Alberta	Red Deer--Mountain View	Mitchell, Paul	Man	Owner, Swing Sleuth Golf Labratory Inc.	People's Party of Canada	Defeated	2637	https://lop.parl.ca/Candidate/14223_tu.jpg
				Alberta	Red Deer--Mountain View	Borlé, Conner	Man	Teacher and Small Business Owner	Green Party of Canada	Defeated	2026	https://lop.parl.ca/Candidate/14220_tu.jpg
				Alberta	Sherwood Park--Fort Saskatchewan	Genuis, Garnett	Man	Parliamentarian	Conservative Party of Canada	Elected	53600	https://lop.parl.ca/ParlInfoPic/18428/11216.jpg
				Alberta	Sherwood Park--Fort Saskatchewan	Theroux, Aidan	Man	Student	New Democratic Party	Defeated	8867	https://lop.parl.ca/Candidate/14463_tu.jpg
	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	
		Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	
			Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	
				Alberta	Sherwood Park--Fort Saskatchewan	Thiering, Ron	Man	Racetrack Promoter	Liberal Party of Canada	Defeated	7357	https://lop.parl.ca/Candidate/14465_tu.jpg
				Alberta	Sherwood Park--Fort Saskatchewan	Sanderson, Laura	Woman	Management	Green Party of Canada	Defeated	1592	https://lop.parl.ca/Candidate/14462_tu.jpg
				Alberta	Sherwood Park--Fort Saskatchewan	Villetard, Darren	Man	Letter Carrier	People's Party of Canada	Defeated	1334	https://lop.parl.ca/Candidate/14466_tu.jpg
				Alberta	Sherwood Park--Fort Saskatchewan	McElrea, Patrick	Man	Retired	Veterans Coalition Party of Canada	Defeated	300	https://lop.parl.ca/Candidate/14464_tu.jpg
				Alberta	St. Albert--Edmonton	Cooper, Michael	Man	Parliamentarian	Conservative Party of Canada	Elected	39506	https://lop.parl.ca/ParlInfoPic/18429/11168.jpg
				Alberta	St. Albert--Edmonton	Springate, Greg	Man	Professor	Liberal Party of Canada	Defeated	12477	https://lop.parl.ca/Candidate/14524_tu.jpg
				Alberta	St. Albert--Edmonton	Mpulubusi, Kathleen	Woman	Letter Carrier	New Democratic Party	Defeated	9895	https://lop.parl.ca/Candidate/14523_tu.jpg
				Alberta	St. Albert--Edmonton	Dunbar, Rob	Man	Sales	Green Party of Canada	Defeated	1594	https://lop.parl.ca/Candidate/14520_tu.jpg
				Alberta	St. Albert--Edmonton	Cecelia, Brigitte	Woman	Sales	People's Party of Canada	Defeated	1268	https://lop.parl.ca/Candidate/14521_tu.jpg
				Alberta	St. Albert--Edmonton	Fraser, Robert Bruce	Man	Technical Support	Veterans Coalition Party of Canada	Defeated	351	https://lop.parl.ca/Candidate/14522_tu.jpg
				Alberta	Sturgeon River--Parkland	Lloyd, Dane	Man	Infantry Officer	Conservative Party of Canada	Elected	53235	https://lop.parl.ca/ParlInfoPic/18807/11223.jpg
				Alberta	Sturgeon River--Parkland	Desforges, Guy	Man	Dairy Worker	New Democratic Party	Defeated	6940	https://lop.parl.ca/Candidate/14555_tu.jpg
				Alberta	Sturgeon River--Parkland	Brochu, Ronald	Man	Accountant	Liberal Party of Canada	Defeated	4696	https://lop.parl.ca/Candidate/14550_tu.jpg
				Alberta	Sturgeon River--Parkland	Romyn, Cass	Woman	Homemaker	Green Party of Canada	Defeated	1745	https://lop.parl.ca/Candidate/14553_tu.jpg
				Alberta	Sturgeon River--Parkland	Beauchamp, Tyler	Man	Health and Safety Manager	People's Party of Canada	Defeated	1625	https://lop.parl.ca/Candidate/14554_tu.jpg
				Alberta	Sturgeon River--Parkland	Chauvet, Ernest	Man	Self-employed/Teacher	Christian Heritage Party of Canada	Defeated	416	https://lop.parl.ca/Candidate/14551_tu.jpg
				Alberta	Yellowhead	Soroka, Gerald	Man	Farmer	Conservative Party of Canada	Elected	45964	https://lop.parl.ca/ParlInfoPic/20169/11350.jpg
				Alberta	Yellowhead	Bowman, Kristine	Woman	Letter Carrier	New Democratic Party	Defeated	3898	https://lop.parl.ca/Candidate/14815_tu.jpg
				Alberta	Yellowhead	Hoefsloot, Jeremy	Man	Political Party Staff	Liberal Party of Canada	Defeated	2912	https://lop.parl.ca/Candidate/14818_tu.jpg
				Alberta	Yellowhead	Galavan, Douglas	Man	Owner and Manager of Retail Business	People's Party of Canada	Defeated	1592	https://lop.parl.ca/Candidate/14817_tu.jpg
				Alberta	Yellowhead	Satdeo, Angelena	Woman	Teacher / Flight Attendant	Green Party of Canada	Defeated	1272	https://lop.parl.ca/Candidate/14813_tu.jpg
				Alberta	Yellowhead	Lystang, Cory	Man	Field Supervisor: JRs Pressure Service	Libertarian Party of Canada	Defeated	222	https://lop.parl.ca/Candidate/14819_tu.jpg
				Alberta	Yellowhead	Francey, Gordon	Man	Information Technology	Veterans Coalition Party of Canada	Defeated	108	https://lop.parl.ca/Candidate/14816_tu.jpg
				British Columbia	Abbotsford	Fast, Edward	Man	Parliamentarian	Conservative Party of Canada	Elected	25162	https://lop.parl.ca/ParlInfoPic/11432/11258.jpg
				British Columbia	Abbotsford	Heffernan, Seamus	Man	Public Servant	Liberal Party of Canada	Defeated	10560	https://lop.parl.ca/Candidate/12703_tu.jpg
				British Columbia	Abbotsford	Sauve, Madeleine	Woman	Set Decoration Coordinator	New Democratic Party	Defeated	8257	https://lop.parl.ca/Candidate/12704_tu.jpg
				British Columbia	Abbotsford	Fowler, Stephen	Man	School Teacher	Green Party of Canada	Defeated	3702	https://lop.parl.ca/Candidate/12702_tu.jpg
				British Columbia	Abbotsford	Duncan, Locke	Man	Electrician	People's Party of Canada	Defeated	985	https://lop.parl.ca/Candidate/12700_tu.jpg
				British Columbia	Abbotsford	Alderking, Aeriol	Woman	Personal Assistant	Christian Heritage Party of Canada	Defeated	270	https://lop.parl.ca/Candidate/12699_tu.jpg
				British Columbia	Burnaby North--Seymour	Beech, Terry	Man	Parliamentarian	Liberal Party of Canada	Elected	17770	https://lop.parl.ca/ParlInfoPic/18430/11312.jpg
				British Columbia	Burnaby North--Seymour	Robinson, Svend Johannes	Man	Consultant	New Democratic Party	Defeated	16185	https://lop.parl.ca/ParlInfoPic/1837/2975.jpg
				British Columbia	Burnaby North--Seymour	Leung, Heather	Woman	Occupational Therapist	Conservative Party of Canada	Defeated	9734	https://lop.parl.ca/Candidate/14845_tu.jpg
				British Columbia	Burnaby North--Seymour	Kuttner, Amita	Other Gender Identity	Astrophysicist	Green Party of Canada	Defeated	4801	https://lop.parl.ca/Candidate/12958_tu.jpg
				British Columbia	Burnaby North--Seymour	Dong, Rocky	Man	Student Consultant	People's Party of Canada	Defeated	1079	https://lop.parl.ca/Candidate/12957_tu.jpg
				British Columbia	Burnaby North--Seymour	Taylor, Robert	Man	Sales	Independent	Defeated	271	https://lop.parl.ca/Candidate/12961_tu.jpg
				British Columbia	Burnaby North--Seymour	Dahlby, Lewis Clarke	Man	Businessman	Libertarian Party of Canada	Defeated	219	https://lop.parl.ca/Candidate/12956_tu.jpg
				British Columbia	Burnaby South	Singh, Jagmeet	Man	Leader, New Democratic Party	New Democratic Party	Elected	16956	https://lop.parl.ca/ParlInfoPic/18796/11200.jpg
				British Columbia	Burnaby South	Shin, Jay	Man	Lawyer	Conservative Party of Canada	Defeated	13914	https://lop.parl.ca/Candidate/12965_tu.jpg
				British Columbia	Burnaby South	Brar, Neelam	Woman	Tech Entrepreur	Liberal Party of Canada	Defeated	10706	https://lop.parl.ca/Candidate/12962_tu.jpg
				British Columbia	Burnaby South	Wauters, Brennan	Man	Electrician	Green Party of Canada	Defeated	2477	https://lop.parl.ca/Candidate/12968_tu.jpg
				British Columbia	Burnaby South	Rawdah, Al	Man	Business Consultant	People's Party of Canada	Defeated	645	https://lop.parl.ca/Candidate/12964_tu.jpg
				British Columbia	Burnaby South	Brocki, Rex	Man	Retired	Libertarian Party of Canada	Defeated	246	https://lop.parl.ca/Candidate/12963_tu.jpg
				British Columbia	Burnaby South	Sproule, Brian	Man	Retired	Marxist-Leninist Party of Canada	Defeated	62	https://lop.parl.ca/Candidate/12967_tu.jpg
				British Columbia	Cariboo--Prince George	Doherty, Todd	Man	Parliamentarian	Conservative Party of Canada	Elected	28848	https://lop.parl.ca/ParlInfoPic/18431/11048.jpg
				British Columbia	Cariboo--Prince George	Calogheros, Tracy	Woman	CEO	Liberal Party of Canada	Defeated	10932	https://lop.parl.ca/Candidate/13056_tu.jpg
				British Columbia	Cariboo--Prince George	Sapergia, Heather	Woman	Retired	New Democratic Party	Defeated	8440	https://lop.parl.ca/Candidate/13060_tu.jpg
				British Columbia	Cariboo--Prince George	Kerr, Mackenzie	Woman	Student	Green Party of Canada	Defeated	4998	https://lop.parl.ca/Candidate/13058_tu.jpg
	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	
		Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	
			Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	
				British Columbia	Cariboo--Prince George	Yang, Jing Lan	Woman	Administrator	People's Party of Canada	Defeated	1206	https://lop.parl.ca/Candidate/13061_tu.jpg
				British Columbia	Cariboo--Prince George	Orr, Michael	Man	Self-employed	Independent	Defeated	350	https://lop.parl.ca/Candidate/13059_tu.jpg
				British Columbia	Central Okanagan--Similkameen--Nicola	Albas, Dan	Man	Parliamentarian	Conservative Party of Canada	Elected	31135	https://lop.parl.ca/ParlInfoPic/17852/11026.jpg
				British Columbia	Central Okanagan--Similkameen--Nicola	Murphy, Mary Ann	Woman	University Professor	Liberal Party of Canada	Defeated	16252	https://lop.parl.ca/Candidate/13083_tu.jpg
				British Columbia	Central Okanagan--Similkameen--Nicola	Phillip, Joan	Woman	Band Councillor	New Democratic Party	Defeated	10904	https://lop.parl.ca/Candidate/13084_tu.jpg
				British Columbia	Central Okanagan--Similkameen--Nicola	Mellalieu, Robert	Man	System Integrator	Green Party of Canada	Defeated	5086	https://lop.parl.ca/Candidate/13082_tu.jpg
				British Columbia	Central Okanagan--Similkameen--Nicola	Duncan, Allan	Man	Residential Painter	People's Party of Canada	Defeated	1345	https://lop.parl.ca/Candidate/13081_tu.jpg
				British Columbia	Central Okanagan--Similkameen--Nicola	Regier, Jesse		Logging Truck Driver	Libertarian Party of Canada	Defeated	213	https://lop.parl.ca/Candidate/13085_tu.jpg
				British Columbia	Chilliwack--Hope	Strahl, Mark	Man	Parliamentarian	Conservative Party of Canada	Elected	26672	https://lop.parl.ca/ParlInfoPic/17847/11351.jpg
				British Columbia	Chilliwack--Hope	Velonis, Kelly	Woman	Executive Director	Liberal Party of Canada	Defeated	10848	https://lop.parl.ca/Candidate/13131_tu.jpg
				British Columbia	Chilliwack--Hope	McQuillan, Heather	Woman	Set Buyer - Film Industry	New Democratic Party	Defeated	8957	https://lop.parl.ca/Candidate/13128_tu.jpg
				British Columbia	Chilliwack--Hope	Green, Arthur	Man	Retired	Green Party of Canada	Defeated	5243	https://lop.parl.ca/Candidate/13126_tu.jpg
				British Columbia	Chilliwack--Hope	Bogunovic, Rob	Man	Teacher	People's Party of Canada	Defeated	1760	https://lop.parl.ca/Candidate/13125_tu.jpg
				British Columbia	Chilliwack--Hope	Lamache, Daniel	Man	Truck Driver	Christian Heritage Party of Canada	Defeated	202	https://lop.parl.ca/Candidate/13127_tu.jpg
				British Columbia	Chilliwack--Hope	O'Donnell, Dorothy-Jean	Woman	Lawyer	Marxist-Leninist Party of Canada	Defeated	73	https://lop.parl.ca/Candidate/13129_tu.jpg
				British Columbia	Cloverdale--Langley City	Jansen, Tamara	Woman	Businesswoman	Conservative Party of Canada	Elected	20936	https://lop.parl.ca/ParlInfoPic/20098/11323.jpg
				British Columbia	Cloverdale--Langley City	Aldag, John	Man	Parliamentarian	Liberal Party of Canada	Defeated	19542	https://lop.parl.ca/ParlInfoPic/18432/10066.jpg
				British Columbia	Cloverdale--Langley City	Banwarie, Rae	Man	Special Constable	New Democratic Party	Defeated	10508	https://lop.parl.ca/Candidate/13138_tu.jpg
				British Columbia	Cloverdale--Langley City	Nutbrown, Caelum	Man	Mental Pealth Professional	Green Party of Canada	Defeated	3572	https://lop.parl.ca/Candidate/13141_tu.jpg
				British Columbia	Cloverdale--Langley City	Kennedy, Ian	Man	Customer Representative	People's Party of Canada	Defeated	930	https://lop.parl.ca/Candidate/13140_tu.jpg
				British Columbia	Coquitlam--Port Coquitlam	McKinnon, Ron	Man	Parliamentarian	Liberal Party of Canada	Elected	20178	https://lop.parl.ca/ParlInfoPic/18433/11188.jpg
				British Columbia	Coquitlam--Port Coquitlam	Insley, Nicholas	Man	Public Affairs Professional	Conservative Party of Canada	Defeated	19788	https://lop.parl.ca/Candidate/13154_tu.jpg
				British Columbia	Coquitlam--Port Coquitlam	Gower, Christina	Woman	Registered Psychiatric Nurse	New Democratic Party	Defeated	13383	https://lop.parl.ca/Candidate/13153_tu.jpg
				British Columbia	Coquitlam--Port Coquitlam	Nickason, Brad	Man	Graphic Designer / Illustrator	Green Party of Canada	Defeated	4025	https://lop.parl.ca/Candidate/13157_tu.jpg
				British Columbia	Coquitlam--Port Coquitlam	Spornicu, Roland	Man	Engineering and Management Consultant	People's Party of Canada	Defeated	703	https://lop.parl.ca/Candidate/13158_tu.jpg
				British Columbia	Coquitlam--Port Coquitlam	Iova, Dan	Man	Health and Safety Advisor	Veterans Coalition Party of Canada	Defeated	98	https://lop.parl.ca/Candidate/13155_tu.jpg
				British Columbia	Courtenay--Alberni	Johns, Gord	Man	Parliamentarian	New Democratic Party	Elected	29790	https://lop.parl.ca/ParlInfoPic/18434/11137.jpg
				British Columbia	Courtenay--Alberni	Horner, Byron	Man	Businessman	Conservative Party of Canada	Defeated	23936	https://lop.parl.ca/Candidate/13161_tu.jpg
				British Columbia	Courtenay--Alberni	Wood, Sean	Man	Business Owner	Green Party of Canada	Defeated	9762	https://lop.parl.ca/Candidate/13163_tu.jpg
				British Columbia	Courtenay--Alberni	Gowans, Jonah Baden	Man	Legislative Assistant	Liberal Party of Canada	Defeated	8620	https://lop.parl.ca/Candidate/13160_tu.jpg
				British Columbia	Courtenay--Alberni	Biley, Barbara	Woman	Retired Health Care Worker	Marxist-Leninist Party of Canada	Defeated	172	https://lop.parl.ca/Candidate/13159_tu.jpg
				British Columbia	Cowichan--Malahat--Langford	MacGregor, Alistair	Man	Parliamentarian	New Democratic Party	Elected	23519	https://lop.parl.ca/ParlInfoPic/18435/11185.jpg
				British Columbia	Cowichan--Malahat--Langford	DeLong, Alana	Woman	Retired Legislator	Conservative Party of Canada	Defeated	16959	https://lop.parl.ca/Candidate/13165_tu.jpg
				British Columbia	Cowichan--Malahat--Langford	Hwitsum, Lydia	Woman	Consultant	Green Party of Canada	Defeated	13181	https://lop.parl.ca/Candidate/13167_tu.jpg
				British Columbia	Cowichan--Malahat--Langford	Herbert, Blair	Man	Real Estate Broker / Farmer	Liberal Party of Canada	Defeated	10301	https://lop.parl.ca/Candidate/13166_tu.jpg
				British Columbia	Cowichan--Malahat--Langford	Chen, Rhonda	Woman	Insurance Agent	People's Party of Canada	Defeated	1066	https://lop.parl.ca/Candidate/13164_tu.jpg
				British Columbia	Cowichan--Malahat--Langford	Stanbridge, Robin Morton	Man	Artist/Designer	Christian Heritage Party of Canada	Defeated	202	https://lop.parl.ca/Candidate/13169_tu.jpg
				British Columbia	Delta	Qualtrough, Carla	Woman	Lawyer	Liberal Party of Canada	Elected	22257	https://lop.parl.ca/ParlInfoPic/18436/11143.jpg
				British Columbia	Delta	Corbet, Tanya	Woman	Consultant, Stakeholder Relations	Conservative Party of Canada	Defeated	17809	https://lop.parl.ca/Candidate/13206_tu.jpg
				British Columbia	Delta	Anderson-Fennell, Randy	Man	Electrician	New Democratic Party	Defeated	8792	https://lop.parl.ca/Candidate/13203_tu.jpg
				British Columbia	Delta	DeCraene, Craig	Man	Team Leader, Journeyman, Auto Glass Installer	Green Party of Canada	Defeated	3387	https://lop.parl.ca/Candidate/13207_tu.jpg
				British Columbia	Delta	Ireland, Angelina	Woman	Bookkeeper/Accountant	People's Party of Canada	Defeated	948	https://lop.parl.ca/Candidate/13208_tu.jpg
				British Columbia	Delta	Bains, Amarit	Man	Lawyer	Independent	Defeated	398	https://lop.parl.ca/Candidate/13204_tu.jpg
				British Columbia	Delta	Bennett, Tony	Man	Project Manager Construction	Independent	Defeated	385	https://lop.parl.ca/Candidate/13205_tu.jpg
				British Columbia	Esquimalt--Saanich--Sooke	Garrison, Randall	Man	Parliamentarian	New Democratic Party	Elected	23887	https://lop.parl.ca/ParlInfoPic/17849/11174.jpg
				British Columbia	Esquimalt--Saanich--Sooke	Merner, David	Man	Retired	Green Party of Canada	Defeated	18506	https://lop.parl.ca/Candidate/13337_tu.jpg
				British Columbia	Esquimalt--Saanich--Sooke	Pewarchuk, Randall	Man	Dentist	Conservative Party of Canada	Defeated	13409	https://lop.parl.ca/Candidate/13339_tu.jpg
